id,name,brand,category,price,imgUrl,saleQtd
0,Camiseta polo Nike,Nike,"Unissex, Qualquer Estação, Diurno",22.50,google.com,242
1,Calça jeans Levi's,Levi's,"Unissex, Qualquer Estação, Diurno",18.75,google.com,416
2,Vestido floral Zara,Zara,"Feminino, Qualquer Estação, Diurno",37.50,google.com,28
3,Blusa de manga longa H&M,H&M,"Feminino, Qualquer Estação, Diurno",28.75,google.com,187
4,Camisa social Ralph Lauren,Ralph Lauren,"Unissex, Qualquer Estação, Diurno/Noturno",41.25,google.com,480
5,Saia plissada Forever 21,Forever 21,"Feminino, Qualquer Estação, Diurno",32.50,google.com,12
6,Short de linho Gap,Gap,"Unissex, Qualquer Estação, Diurno",26.25,google.com,373
7,Jaqueta de couro biker,Harley-Davidson,"Unissex, Qualquer Estação, Diurno/Noturno",21.25,google.com,55
8,Casaco de lã trench coat,Burberry,"Unissex, Qualquer Estação, Diurno/Noturno",26.25,google.com,337
9,Suéter de cashmere,Loro Piana,"Unissex, Qualquer Estação, Diurno/Noturno",33.75,google.com,162
10,Blazer de veludo cotelê,Tom Ford,"Unissex, Qualquer Estação, Diurno/Noturno",31.25,google.com,86
11,Colete de alfaiataria,Hugo Boss,"Unissex, Qualquer Estação, Diurno",21.25,google.com,293
12,Legging Adidas,Adidas,"Feminino, Qualquer Estação, Diurno",17.50,google.com,195
13,Conjunto de moletom Puma,Puma,"Unissex, Qualquer Estação, Diurno",35.00,google.com,312
14,Macacão preto,ASOS,"Feminino, Qualquer Estação, Diurno",36.25,google.com,426
15,Top esportivo Under Armour,Under Armour,"Feminino, Qualquer Estação, Diurno",18.75,google.com,362
16,Bermuda cargo Timberland,Timberland,"Unissex, Qualquer Estação, Diurno",32.50,google.com,118
17,Blusa de tricô GAP,GAP,"Feminino, Qualquer Estação, Diurno",23.75,google.com,260
18,Cardigã básico Uniqlo,Uniqlo,"Feminino, Qualquer Estação, Diurno",20.00,google.com,37
19,Camiseta regata masculina,Calvin Klein,"Unissex, Qualquer Estação, Diurno",17.50,google.com,123
20,Cueca boxer,Happy Socks,"Unissex, Qualquer Estação, Diurno",33.75,google.com,453
21,Meias estampadas,Gucci,"Unissex, Qualquer Estação, Diurno",31.25,google.com,77
22,Cinto de couro marrom,Hermès,"Unissex, Qualquer Estação, Diurno",21.25,google.com,409
23,Gravata borboleta preta,Borsalino,"Unissex, Qualquer Estação, Diurno",26.25,google.com,144
24,Lenço de seda estampado,New Era,"Unissex, Qualquer Estação, Diurno",36.25,google.com,205
25,Chapéu Fedora de feltro,Clarks,"Unissex, Qualquer Estação, Diurno",28.75,google.com,452
26,Boné snapback,Jimmy Choo,"Unissex, Qualquer Estação, Diurno",23.75,google.com,94
27,Luvas de couro,Nike Benassi,"Unissex, Inverno, Diurno",18.75,google.com,321
28,Sapato Oxford,Dr. Martens,"Unissex, Qualquer Estação, Diurno",37.50,google.com,435
29,Tênis branco,Repetto,"Unissex, Qualquer Estação, Diurno",33.75,google.com,168
30,Sandália de salto alto,Tod's,"Feminino, Qualquer Estação, Noturno",15.00,google.com,248
31,Chinelo slide,Fendi,"Unissex, Verão, Diurno",18.75,google.com,28
32,Bota de couro preta,Herschel,"Unissex, Inverno, Diurno/Noturno",35.00,google.com,150
33,Sapatilha de ballet,Bellroy,"Feminino, Qualquer Estação, Diurno",31.25,google.com,381
34,Mocassim de camurça,Judith Leiber,"Unissex, Qualquer Estação, Diurno",15.00,google.com,91
35,Bolsa de ombro,Chanel,"Feminino, Qualquer Estação, Diurno",25.00,google.com,230
36,Mochila urbana,Tiffany & Co.,"Unissex, Qualquer Estação, Diurno",33.75,google.com,461
37,Carteira de couro Slim,Kate Spade,"Unissex, Qualquer Estação, Diurno",28.75,google.com,15
38,Clutch metalizada,David Yurman,"Feminino, Qualquer Estação, Noturno",21.25,google.com,375
39,Presilha de cabelo com pérola,Cartier,"Feminino, Qualquer Estação, Diurno",18.75,google.com,216
40,Brinco de argola dourada,Rolex,"Feminino, Qualquer Estação, Diurno",32.50,google.com,84
41,Colar com pingente inicial,Ray-Ban,"Unissex, Qualquer Estação, Diurno",23.75,google.com,284
